session,n,sig_e,sig_n,sig_u,sig_e_over_n,drms,cep50,r95,rms_h,reported_mean,reported_col,n_fix,note
hilltop,698.0,1.490537555606178,0.2502626507586468,2.9077754345011315,5.9558929432248835,1.5114012038625564,1.3385698728467585,2.5919551885288405,1.5103181501916492,1.2542979942693409,AccuracyMeters,,
urban_raw_on,300.0,1.2148391493856574,2.1469105222266536,0.1442067266610227,0.5658545788511462,2.4667912253224005,2.4830944955773258,3.3030064627327147,2.4626764747925214,1.7673333333333332,AccuracyMeters,,
urban_force_on,599.0,1.809823971276219,2.976843397849332,0.9107152141102771,0.6079674774238226,3.4838282710726687,1.6363857846093215,8.944316843189963,3.48091901939953,2.346911519198665,AccuracyMeters,,
indoor,,,,,,,,,,,,0.0,no GNSS fixes
