utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,3,0.0,16431,145184933285007,487,17.851999282836914,487.5689060245523,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,1,6.0,17.851999282836914,0.0,0.0,0.0,66.7128,C,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,17,0.0,16431,145184928094506,487,19.04199981689453,309.7360308716807,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,1,6.0,19.04199981689453,0.0,0.0,0.0,66.7128,C,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,20,0.0,16431,145170927763782,58,35.448001861572266,399.45770263671875,0.14999,16,0.0,0.0,1561098000,,,,0,17.64902538543591,5,6.0,35.448001861572266,0.0,0.0,48.57803540911723,66.7128,I,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,30,0.0,16431,145170920954504,797,12.899999618530273,928.670166015625,0.14999,16,0.0,0.0,1561098000,,,,0,0.0,5,6.0,12.899999618530273,0.0,0.0,48.57803540911723,66.7128,I,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,5,0.0,22569,145184918486762,487,15.27400016784668,-73.32378517735765,0.14999,16,0.0,0.0,1575420000,,,,0,0.0,6,6.0,15.27400016784668,0.0,0.0,-1.0684180622318027,66.7128,C,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,19,0.0,16431,145184925704683,316,25.368000030517578,-97.85169184937618,0.14999,16,0.0,0.0,1575420000,,,,0,4.731440128741254,1,6.0,25.368000030517578,0.0,0.0,0.0,66.7128,C,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,12,0.0,16431,145170928330905,487,18.5049991607666,167.24349975585938,0.14999,16,0.0,0.0,1561098000,,,,0,0.0,5,6.0,18.5049991607666,0.0,0.0,48.57803540911723,66.7128,I,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,8,0.0,32995,69566933883637,797,0.0,791.6335325060874,0.14999,16,0.0,0.0,1605375000,,,,0,0.0,3,6.0,17.0,0.0,0.0,-25.220348441434464,66.7128,C,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,23,0.0,32995,69566932839237,487,0.0,802.3143591667459,0.14999,16,0.0,0.0,1603687600,,,,0,0.0,3,6.0,18.0,0.0,0.0,-25.220348441434464,66.7128,C,,0,,,,,,,,,,,,,,,,
1777306767000,1491564000000,18,42.82425106677916,-1461340493436999936,0.0,42.82425106677916,1218.6118582380018,0.0,0,22,0.0,32995,69566922583907,797,0.0,1086.1035177213082,0.14999,16,0.0,0.0,1600312400,,,,0,0.0,3,6.0,17.0,0.0,0.0,-25.220348441434464,66.7128,C,,0,,,,,,,,,,,,,,,,
